,N,Lat,Long,Alt,Coast,POB,Lat coast,Long coast
1,268,-38.032135,-60.097628,194,85.27587196,170,-38.799163,-59.698377
2,269,-38.030476,-60.091791,194,85.95961051,164,-38.803654,-59.717198
3,270,-37.989224,-60.070773,205,91.15235464,155,-38.809109,-59.735254
4,222,-37.989224,-60.060137,202,91.98973981,132,-38.816641,-59.757319
5,223,-38.009114,-60.085755,197,90.31674831,152,-38.821483,-59.775189
6,224,-38.022579,-60.096145,196,89.38586329,151,-38.826575,-59.794428
7,225,-38.038103,-60.10681,192,87.8143764,122,-38.827964,-59.813493
8,226,-38.054135,-60.118851,185,86.36107065,117,-38.830924,-59.836344
9,227,-38.069483,-60.130543,178,85.10777233,118,-38.834999,-59.851113
10,228,-38.084361,-60.141855,173,83.81823031,141,-38.838278,-59.871943
11,229,-38.100681,-60.150887,175,82.29632836,120,-38.840909,-59.891237
12,230,-38.118255,-60.15472,166,80.7241744,81,-38.844342,-59.918500
13,231,-38.136155,-60.158637,160,79.01438332,55,-38.846863,-59.941437
14,232,-38.154204,-60.162576,160,77.21576181,55,-38.848734,-59.958233
15,233,-38.171947,-60.170294,153,75.57011986,18,-38.851675,-59.980890
16,234,-38.188776,-60.177802,150,73.98673702,25,-38.854262,-60.002258
17,235,-38.205082,-60.1852,145,72.3912359,-15,-38.856217,-60.023025
18,236,-38.222055,-60.192931,137,70.73792273,-13,-38.858319,-60.043619
19,237,-38.238980,-60.200488,132,69.06537594,-28,-38.8602,-60.069309
20,238,-38.255763,-60.208008,130,67.4772125,-30,-38.862698,-60.093091
21,239,-38.272650,-60.215837,128,65.88360138,-52,-38.865251,-60.114658
22,240,-38.289745,-60.222979,125,64.47487761,-75,-38.869675,-60.139080
23,241,-38.306990,-60.228711,122,62.93618793,-78,-38.87308,-60.158646
24,243,-38.324649,-60.235891,120,61.30855665,-60,-38.876099,-60.184922
25,2422,-38.333693,-60.27646,120,60.55344247,-140,-38.878351,-60.204606
26,244,-38.340975,-60.296995,120,60.06326307,-150,-38.881224,-60.220715
27,245,-38.355801,-60.315392,120,58.79217643,-190,-38.884617,-60.242379
28,246,-38.368520,-60.330903,120,57.73555022,-190,-38.887832,-60.263486
29,247,-38.381855,-60.347463,130,56.55340518,-140,-38.890534,-60.280908
30,248,-38.396553,-60.365089,124,55.42340216,-166,-38.895068,-60.302041
31,249,-38.405801,-60.386526,116,54.93633572,-244,-38.899935,-60.326944
32,250,-38.407380,-60.41843,112,55.27297967,-348,-38.904542,-60.350611
33,251,-38.404401,-60.444656,111,56.03209623,-269,-38.908391,-60.368974
34,252,-38.417872,-60.461481,110,54.96268467,-370,-38.912243,-60.389056
35,253,-38.430056,-60.477387,107,53.97732292,-453,-38.915564,-60.406881
36,254,-38.455508,-60.510276,107,51.53798836,-493,-38.919075,-60.424734
37,255,-38.468241,-60.526829,104,50.40109236,-476,-38.921582,-60.442775
38,256,-38.495075,-60.561303,104,47.86959207,-416,-38.925646,-60.477029
39,257,-38.525179,-60.591241,95,45.0112314,-385,-38.93004,-60.512672
40,258,-38.537453,-60.636649,91,44.10502767,-409,-38.934163,-60.554122
41,259,-38.548843,-60.678372,92,43.3092227,-458,-38.938395,-60.588496
42,260,-38.561111,-60.723833,111,42.3014032,-489,-38.941598,-60.620583
43,261,-38.572513,-60.765024,115,41.54373194,-455,-38.946185,-60.660368
44,262,-38.582994,-60.804602,117,41.15227773,-333,-38.953145,-60.715670
45,263,-38.580922,-60.796843,111,42.38556419,-389,-38.962166,-60.767932
46,264,-38.604264,-60.84765,108,39.17277124,-322,-38.95661,-60.734531
47,265,-38.625482,-60.881047,120,35.92373459,-380,-38.948604,-60.684938
48,266,-38.641763,-60.924275,118,37.67721824,-482,-38.980657,-60.936830
