N,VES,Lat,Long,Alt,POB,,,,,,,,,,,,,,
1,268,38.032135,-60.097628,194,24,,,,,,,,,,,,,,
2,269,38.030476,-60.091791,194,30,,,,,,,,,,,,,,
3,270,37.989224,-60.070773,205,50,,,,,,,,,,,,,,
4,222,37.989224,-60.060137,202,70,,,,,,,,,,,,,,
5,223,38.009114,-60.085755,197,45,,,,,,,,,,,,,,
6,224,38.022579,-60.096145,196,45,,,,,,,,,,,,,,
7,225,38.038103,-60.10681,192,70,,,,,,,,,,,,,,
8,226,38.054135,-60.118851,185,68,,,,,,,,,,,,,,
9,227,38.069483,-60.130543,178,60,,,,,,,,,,,,,,
10,228,38.084361,-60.141855,173,32,,,,,,,,,,,,,,
11,229,38.100681,-60.150887,175,55,,,,,,,,,,,,,,
12,230,38.118255,-60.15472,166,85,,,,,,,,,,,,,,
13,231,38.136155,-60.158637,160,105,,,,,,,,,,,,,,
14,232,38.154204,-60.162576,160,105,,,,,,,,,,,,,,
15,233,38.171947,-60.170294,153,135,,,,,,,,,,,,,,
16,234,38.188776,-60.177802,150,125,,,,,,,,,,,,,,
17,235,38.205082,-60.1852,145,160,,,,,,,,,,,,,,
18,236,38.222055,-60.192931,137,150,,,,,,,,,,,,,,
19,237,38.23898,-60.200488,132,160,,,,,,,,,,,,,,
20,238,38.255763,-60.208008,130,160,,,,,,,,,,,,,,
21,239,38.27265,-60.215837,128,180,,,,,,,,,,,,,,
22,240,38.289745,-60.222979,125,200,,,,,,,,,,,,,,
23,241,38.30699,-60.228711,122,200,,,,,,,,,,,,,,
24,243,38.324649,-60.235891,120,180,,,,,,,,,,,,,,
25,2422,38.333693,-60.27646,120,260,,,,,,,,,,,,,,
26,244,38.340975,-60.296995,120,270,,,,,,,,,,,,,,
27,245,38.355801,-60.315392,120,310,,,,,,,,,,,,,,
28,246,38.36852,-60.330903,120,310,,,,,,,,,,,,,,
29,247,38.381855,-60.347463,130,270,,,,,,,,,,,,,,
30,248,38.396553,-60.365089,124,290,,,,,,,,,,,,,,
31,249,38.405801,-60.386526,116,360,,,,,,,,,,,,,,
32,250,38.40738,-60.41843,112,460,,,,,,,,,,,,,,
33,251,38.404401,-60.444656,111,380,,,,,,,,,,,,,,
34,252,38.417872,-60.461481,110,480,,,,,,,,,,,,,,
35,253,38.430056,-60.477387,107,560,,,,,,,,,,,,,,
36,254,38.455508,-60.510276,107,600,,,,,,,,,,,,,,
37,255,38.468241,-60.526829,104,580,,,,,,,,,,,,,,
38,256,38.495075,-60.561303,104,520,,,,,,,,,,,,,,
39,257,38.525179,-60.591241,95,480,,,,,,,,,,,,,,
40,258,38.537453,-60.636649,91,500,,,,,,,,,,,,,,
41,259,38.548843,-60.678372,92,550,,,,,,,,,,,,,,
42,260,38.561111,-60.723833,111,600,,,,,,,,,,,,,,
43,261,38.572513,-60.765024,115,570,,,,,,,,,,,,,,
44,262,38.582994,-60.804602,117,450,,,,,,,,,,,,,,
45,263,38.580922,-60.796843,111,500,,,,,,,,,,,,,,
46,264,38.604264,-60.84765,108,430,,,,,,,,,,,,,,
47,265,38.625482,-60.881047,120,500,,,,,,,,,,,,,,
48,266,38.641763,-60.924275,118,600,,,,,,,,,,,,,,
