Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.641763,-61.083916789440444,-386.1047286194844,-482.0,-438.226,-482.0
-38.64159982445611,-61.0121692355381,-508.348318404721,-482.0,-438.226,-480.98
-38.641436648912226,-60.99903543361607,-517.1459513873233,-482.0,-438.226,-480.368
-38.64127347336834,-61.02341893463965,-495.8311995157716,-482.0,-438.226,-480.164
-38.641110297824454,-60.85249817586629,-348.5486039638085,-482.0,-390.408,-398.708
-38.640947122280565,-60.89546670454334,-401.3951019415097,-482.0,-416.398,-444.464
-38.64078394673668,-60.84838452340157,-345.92887931644526,-482.0,-390.408,-394.464
-38.64062077119279,-60.842016276999075,-342.9382396127387,-482.0,-387.762,-391.482
-38.64045759564891,-60.966681475257566,-510.12402921734605,-482.0,-438.226,-478.736
-38.64029442010502,-60.91069046614756,-427.2169895075976,-482.0,-438.226,-461.192
-38.64013124456114,-60.685324139080564,-354.6667857289949,-482.0,-429.186,-430.644
-38.63996806901725,-60.955803896319836,-498.8486952763954,-482.0,-438.226,-476.696
-38.63980489347337,-61.04397082328726,-463.7745384350801,-482.0,-438.226,-476.492
-38.63964171792948,-60.9012030710416,-409.4848115410861,-482.0,-416.398,-448.34
-38.639478542385596,-60.9863826223942,-517.4439962491024,-482.0,-438.226,-475.676
-38.63931536684171,-60.95318647029831,-494.7609978955691,-482.0,-438.226,-474.86
-38.639152191297825,-60.9634388292991,-505.52922205338945,-482.0,-438.226,-474.248
-38.638989015753936,-60.99064913255334,-516.8188510314016,-482.0,-438.226,-473.432
-38.63882584021005,-60.87699019611766,-371.3368681872379,-482.0,-404.238,-414.08
-38.638662664666164,-60.77784442421836,-359.8248345514645,-482.0,-415.01,-398.606
-38.638499489122275,-60.89840591165013,-403.1429964698409,-482.0,-416.398,-439.568
-38.63833631357839,-60.988701810262995,-516.1249086474489,-482.0,-438.226,-471.188
-38.6381731380345,-60.9407049859339,-475.5905338807321,-482.0,-438.226,-470.984
-38.63800996249062,-61.07667816144722,-400.02067870209873,-482.0,-438.226,-470.78
-38.63784678694673,-60.81873763770719,-342.7662540323731,-482.0,-392.756,-378.328
-38.63768361140285,-60.87597253751388,-368.9714823587519,-482.0,-404.238,-410.76
-38.63752043585896,-60.791361037776994,-354.6508666690686,-482.0,-400.816,-387.208
-38.63735726031508,-60.8549034584489,-348.9032494429599,-482.0,-390.408,-391.712
-38.63719408477119,-60.84967416185357,-345.90690772112265,-482.0,-390.408,-385.84
-38.637030909227306,-60.86787997893728,-359.37454076214584,-482.0,-404.238,-401.492
-38.63686773368342,-60.87533570139443,-367.4221854144575,-482.0,-404.238,-407.788
-38.636704558139535,-60.944975378519416,-479.4895672880798,-482.0,-438.226,-465.476
-38.636541382595645,-60.90171371420378,-405.93058017524896,-482.0,-416.398,-437.732
-38.63637820705176,-60.878433469360075,-370.73586848923605,-482.0,-404.238,-408.1
-38.636215031507874,-60.95267701543429,-489.09755055858284,-482.0,-438.226,-463.64
-38.63605185596399,-60.91347281731942,-425.61383930773025,-482.0,-438.226,-449.36
-38.6358886804201,-60.905361609626816,-411.1650920595329,-482.0,-438.226,-439.568
-38.63572550487622,-60.91430476667788,-426.542639829769,-482.0,-438.226,-449.972
-38.63556232933233,-60.9566395140444,-492.75324354804326,-482.0,-438.226,-461.804
-38.63539915378844,-60.92189835459718,-439.39063545580467,-482.0,-438.226,-457.724
-38.63523597824456,-60.8426539318566,-343.1522481295477,-482.0,-387.762,-376.056
-38.63507280270067,-60.932913751249444,-457.72224459559783,-482.0,-438.226,-460.58
-38.63490962715679,-61.043949565461624,-460.81249980514497,-482.0,-438.226,-460.376
-38.6347464516129,-60.811508064269866,-347.898278739276,-482.0,-392.756,-368.518
