Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.641763,-60.88693847936555,-392.9032113915321,-482.0,-416.398,-434.672
-38.64159982445611,-60.888553726553475,-395.3321968845752,-482.0,-416.398,-436.712
-38.641436648912226,-60.87945005034757,-381.06122323714993,-482.0,-404.238,-424.912
-38.64127347336834,-60.886339786837375,-391.39541650536114,-482.0,-416.398,-432.02
-38.641110297824454,-60.92113473964363,-452.24454861323767,-482.0,-438.226,-474.452
-38.640947122280565,-61.00500204999237,-511.4197091482243,-482.0,-438.226,-479.348
-38.64078394673668,-60.84914865106919,-348.05802279146553,-482.0,-390.408,-394.928
-38.64062077119279,-60.957205399133485,-504.3600959500677,-482.0,-438.226,-478.94
-38.64045759564891,-60.98494613266935,-518.6237566060825,-482.0,-438.226,-478.736
-38.64029442010502,-60.87762981999094,-377.3284164403145,-482.0,-404.238,-419.556
-38.64013124456114,-60.91279327282651,-435.8190165800318,-482.0,-438.226,-463.436
-38.63996806901725,-60.90208996203177,-416.37227754085745,-482.0,-416.398,-449.36
-38.63980489347337,-60.92862736534377,-463.2446107233542,-482.0,-438.226,-476.492
-38.63964171792948,-60.96617699694358,-510.7724930062661,-482.0,-438.226,-475.676
-38.639478542385596,-60.88500086032538,-387.2512593914905,-482.0,-404.238,-426.92
-38.63931536684171,-61.00554872158143,-509.57095972204746,-482.0,-438.226,-474.86
-38.639152191297825,-60.961912797113584,-506.69840023188925,-482.0,-438.226,-474.248
-38.638989015753936,-60.799417863281654,-347.41800038962975,-482.0,-400.816,-381.518
-38.63882584021005,-60.9006820562954,-412.28285155127975,-482.0,-416.398,-444.056
-38.638662664666164,-61.02886042047457,-482.74169079803585,-482.0,-438.226,-472.004
-38.638499489122275,-60.90269315494206,-415.33057324551424,-482.0,-438.226,-445.484
-38.63833631357839,-60.93148666036815,-465.6590366646951,-482.0,-438.226,-471.188
-38.6381731380345,-60.87526367599105,-372.04392667226614,-482.0,-404.238,-411.84
-38.63800996249062,-60.82493115297249,-341.32521456914844,-482.0,-389.024,-379.61
-38.63784678694673,-61.06717417870727,-413.2190510019211,-482.0,-438.226,-469.964
-38.63768361140285,-60.977955241245326,-514.099399866147,-482.0,-438.226,-469.352
-38.63752043585896,-60.88558501670384,-385.80107070511593,-482.0,-404.238,-420.596
-38.63735726031508,-60.91301454610513,-431.9048429387036,-482.0,-438.226,-454.052
-38.63719408477119,-60.82740706074746,-341.57036405404915,-482.0,-387.924,-377.118
-38.637030909227306,-60.8798679608217,-376.98336527904394,-482.0,-404.238,-411.884
-38.63686773368342,-60.91893724759431,-441.6301165708383,-482.0,-438.226,-458.54
-38.636704558139535,-60.923539422227954,-449.4252638507795,-482.0,-438.226,-464.048
-38.636541382595645,-60.67712008583107,-358.61530125808144,-482.0,-426.646,-428.292
-38.63637820705176,-60.93180740790447,-462.86556061534145,-482.0,-438.226,-464.252
-38.636215031507874,-60.73247065795297,-378.2722253711703,-482.0,-431.248,-416.584
-38.63605185596399,-60.99212601691443,-512.5068688477252,-482.0,-438.226,-463.232
-38.6358886804201,-60.99571741311004,-511.2726533951073,-482.0,-438.226,-463.028
-38.63572550487622,-60.98644394249771,-512.6791715309919,-482.0,-438.226,-462.824
-38.63556232933233,-60.955569906563554,-494.74010251292174,-482.0,-438.226,-461.804
-38.63539915378844,-60.885487648128574,-382.9937829807355,-482.0,-404.238,-413.048
-38.63523597824456,-60.86918310976907,-362.0832041730531,-482.0,-404.238,-397.292
-38.63507280270067,-61.00303630286817,-506.7292315927739,-482.0,-438.226,-460.58
-38.63490962715679,-60.88354813566319,-379.589369310699,-482.0,-404.238,-409.988
-38.6347464516129,-60.91476600507488,-430.62697962379553,-482.0,-438.226,-447.32
-38.634583276069016,-60.9369047828152,-467.80614093193066,-482.0,-438.226,-459.764
-38.634420100525126,-60.82556547088943,-342.8813762735441,-482.0,-389.024,-370.306
-38.634256924981244,-60.89222972617001,-391.63674948059406,-482.0,-416.398,-419.984
-38.634093749437355,-60.884555136056335,-379.97045536316244,-482.0,-404.238,-409.784
-38.63393057389347,-60.769051431164115,-371.7360789030613,-482.0,-415.01,-396.812
-38.63376739834958,-60.93319660666942,-460.3942213999516,-482.0,-438.226,-457.724
-38.6336042228057,-61.06801274178142,-409.73168217925087,-380.0,-418.234,-457.316
-38.63344104726181,-60.91169539110146,-422.94884255597896,-380.0,-418.234,-440.996
